,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Westport,40,US,1571454555,70,41.14,-73.36,282.59,2.6
1,San Quintin,0,PH,1571454555,61,17.54,120.52,303.557,1.71
2,Zemio,100,CF,1571454556,98,5.02,25.13,293.567,1.22
3,Tizimin,100,MX,1571454556,96,21.14,-88.15,297.987,1.68
4,Punta Arenas,75,CL,1571454558,71,-53.16,-70.91,283.15,8.2
5,Bredasdorp,0,ZA,1571454558,93,-34.53,20.04,290.93,0.5
6,Kruisfontein,13,ZA,1571454558,97,-34.0,24.73,287.217,0.39
7,Bambous Virieux,75,MU,1571454558,60,-20.34,57.76,295.93,7.2
8,Cape Town,0,ZA,1571454197,93,-33.93,18.42,290.93,3.6
9,Hami,0,CN,1571454559,19,42.84,93.51,281.277,1.51
10,Praya,40,ID,1571454559,58,-8.71,116.27,304.15,5.1
11,Isangel,75,VU,1571454559,78,-19.55,169.27,300.15,7.2
12,Ushuaia,90,AR,1571454560,56,-54.81,-68.31,280.15,9.8
13,Rohnert Park,1,US,1571454560,71,38.34,-122.7,288.71,2.6
14,Norman Wells,90,CA,1571454560,92,65.28,-126.83,272.15,1.0
15,Caravelas,24,BR,1571454560,83,-17.73,-39.27,295.747,4.57
