,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,75,AR,1571466080,65,-54.81,-68.31,46.4,13.87
1,Castro,0,CL,1571466080,87,-42.48,-73.76,42.8,3.36
2,Sabang,45,PH,1571466080,76,13.8,121.11,84.99,10.0
3,Hilo,90,US,1571466081,73,19.71,-155.08,77.0,5.82
4,Mataura,35,NZ,1571466081,66,-46.19,168.86,57.99,8.99
5,Torbay,75,CA,1571466081,93,47.66,-52.73,57.0,4.7
6,Norden,100,DE,1571466082,81,53.59,7.21,52.0,12.75
7,Vardo,1,US,1571466082,75,39.62,-77.74,44.01,1.63
8,Teplodar,90,UA,1571466082,87,46.51,30.33,59.0,4.47
9,Dikson,100,RU,1571466083,93,73.51,80.55,28.12,26.13
10,Dingle,59,PH,1571466083,77,11.0,122.67,84.43,7.54
11,Bethel,1,US,1571466083,73,60.79,-161.76,28.4,4.7
12,Punta Arenas,40,CL,1571466083,66,-53.16,-70.91,51.8,24.16
13,Lavrentiya,100,RU,1571466084,95,65.58,-170.99,22.74,2.91
14,Hermanus,49,ZA,1571466084,84,-34.42,19.24,66.0,5.99
15,Arraial do Cabo,50,BR,1571466084,86,-22.97,-42.02,73.45,9.22
16,Hithadhoo,100,MV,1571466084,74,-0.6,73.08,81.64,11.61
17,General Roca,0,AR,1571466085,58,-39.03,-67.58,55.4,2.24
18,Provideniya,100,RU,1571466085,85,64.42,-173.23,22.92,6.24
19,Kapaa,75,US,1571466085,78,22.08,-159.32,78.8,19.46
20,Salalah,0,OM,1571466086,62,17.01,54.1,86.0,5.82
21,Carnarvon,0,ZA,1571466086,36,-30.97,22.13,71.3,5.3
22,Dickinson,1,US,1571466086,69,46.88,-102.79,44.01,11.41
23,Upernavik,100,GL,1571466086,98,72.79,-56.15,32.51,11.18
24,Port Elizabeth,1,US,1571466087,86,39.31,-74.98,48.0,3.62
25,Norman Wells,90,CA,1571466087,92,65.28,-126.83,28.4,3.15
26,Bull Savanna,69,JM,1571466087,80,17.89,-77.59,80.63,7.78
27,Aasiaat,100,GL,1571466087,93,68.71,-52.87,34.44,21.68
28,La Ronge,20,CA,1571466088,92,55.1,-105.3,32.0,2.24
29,Chumikan,99,RU,1571466088,76,54.72,135.31,41.95,2.21
30,Anloga,40,GH,1571466088,88,5.79,0.9,78.8,8.05
31,Naze,96,NG,1571466089,93,5.43,7.07,73.99,1.68
32,San Ignacio,90,PE,1571466089,89,-5.15,-79.0,60.92,1.61
33,Saint George,40,GR,1571466089,100,39.45,22.34,59.0,0.67
34,Kitab,0,UZ,1571466089,28,39.12,66.88,69.8,2.24
35,Atuona,0,PF,1571466090,76,-9.8,-139.03,80.0,22.77
36,Aklavik,90,CA,1571466090,79,68.22,-135.01,24.8,6.93
37,Kahului,20,US,1571466090,65,20.89,-156.47,78.8,13.87
38,Kunigal,75,IN,1571466091,59,13.02,77.02,82.0,4.54
39,Mahebourg,75,MU,1571466091,50,-20.41,57.7,78.01,13.87
40,Constitucion,86,MX,1571466091,70,23.99,-104.67,61.0,8.99
41,Busselton,47,AU,1571466091,23,-33.64,115.35,81.0,6.2
42,Rikitea,98,PF,1571466092,81,-23.12,-134.97,69.25,21.99
43,Gisborne,46,NZ,1571466092,52,-38.66,178.02,66.99,7.0
44,Puerto Ayora,12,EC,1571466092,94,-0.74,-90.35,66.0,5.99
45,Cape Town,0,ZA,1571466093,93,-33.93,18.42,66.0,10.29
46,Sao Filipe,11,CV,1571466093,88,14.9,-24.5,77.57,17.74
47,Guiberoua,99,CI,1571466093,97,6.24,-6.17,72.37,3.33
48,San Quintin,0,PH,1571466093,73,17.54,120.52,84.39,5.64
49,Albany,1,US,1571466094,93,42.65,-73.75,43.0,3.36
50,El Colomo,90,MX,1571466094,94,20.87,-105.16,78.01,2.24
51,Nogliki,58,RU,1571466094,70,51.8,143.14,51.27,7.56
52,Mabaruma,38,GY,1571466094,98,8.2,-59.78,72.89,1.54
53,Mar del Plata,47,AR,1571466095,51,-46.43,-67.52,54.2,10.67
54,Washougal,90,US,1571466095,81,45.58,-122.35,53.6,6.93
55,Saskylakh,7,RU,1571466095,96,71.97,114.09,-4.66,2.91
56,Grindavik,75,IS,1571466095,80,63.84,-22.43,41.0,3.36
57,Emba,40,CY,1571466096,60,34.81,32.42,75.2,6.93
58,Kruisfontein,12,ZA,1571466096,82,-34.0,24.73,66.1,3.4
59,San Patricio,66,PY,1571466096,89,-26.98,-56.83,64.19,6.24
60,San Cristobal,4,HN,1571466096,94,14.68,-86.92,65.65,2.57
61,Moryakovskiy Zaton,75,RU,1571466097,73,56.7,84.65,28.99,4.47
62,Saint Albans,90,US,1571466097,70,44.81,-73.08,45.0,11.56
63,Te Anau,89,NZ,1571466097,78,-45.41,167.72,50.17,7.23
64,Tokonou,83,GN,1571466097,96,9.65,-9.78,67.94,2.98
65,Ponta do Sol,18,BR,1571466098,60,-20.63,-46.0,69.74,1.07
66,Lantawan,40,PH,1571466098,59,10.57,123.77,89.6,11.41
67,Qaanaaq,70,GL,1571466098,64,77.48,-69.36,4.06,5.35
68,Vaini,75,IN,1571466099,83,15.34,74.49,77.0,6.93
69,Tual,15,ID,1571466099,76,-5.67,132.75,81.62,12.66
70,Biak,100,ID,1571466099,93,-0.91,122.88,70.4,3.62
71,Georgetown,20,GY,1571466099,100,6.8,-58.16,75.2,4.7
72,Zhanaozen,0,KZ,1571466100,26,43.35,52.85,66.25,8.77
73,Butaritari,83,KI,1571466100,65,3.07,172.79,85.31,7.78
74,Hamilton,5,CA,1571466100,86,43.26,-79.87,41.0,6.93
75,Shakawe,0,BW,1571466101,14,-18.36,21.84,76.22,6.53
76,Shimoda,75,JP,1571466101,88,34.7,138.93,73.4,13.87
77,Touros,40,BR,1571466101,94,-5.2,-35.46,71.6,3.36
78,Avarua,100,CK,1571466101,94,-21.21,-159.78,73.4,12.75
79,Plon,75,AT,1571466102,100,46.92,12.49,46.4,9.75
80,Jamestown,7,AU,1571466102,36,-33.21,138.6,62.2,16.2
81,Haines Junction,100,CA,1571466102,97,60.75,-137.51,23.21,2.39
82,Ancud,0,CL,1571466102,87,-41.87,-73.83,42.8,3.36
83,Ribeira Grande,35,PT,1571466103,74,38.52,-28.7,63.55,16.28
84,Sorland,40,NO,1571466103,65,67.67,12.69,41.0,25.28
85,Rawson,8,AR,1571466103,44,-43.3,-65.11,52.64,12.39
86,Pocone,100,BR,1571466103,82,-16.26,-56.62,74.94,1.61
87,Nouadhibou,62,MR,1571466104,82,20.93,-17.03,68.0,16.11
88,Bluff,6,AU,1571466104,15,-23.58,149.07,96.02,13.58
89,Port Alfred,37,ZA,1571466104,94,-33.59,26.89,66.0,4.29
90,Geraldton,90,CA,1571466105,87,49.72,-86.95,42.8,8.05
91,Los Llanos de Aridane,86,ES,1571466105,68,28.66,-17.92,68.0,5.82
92,Ahipara,20,NZ,1571466105,92,-35.17,173.16,64.0,11.1
93,Esperance,3,AU,1571466105,35,-33.86,121.89,73.4,13.87
94,Narsaq,100,GL,1571466106,64,60.91,-46.05,33.8,5.82
95,Severo-Kurilsk,74,RU,1571466106,81,50.68,156.12,42.05,19.17
96,Barrow,0,AR,1571466106,83,-38.31,-60.23,43.85,5.5
97,Hami,0,CN,1571466107,15,42.84,93.51,52.03,7.94
98,Port Blair,99,IN,1571466107,76,11.67,92.75,84.71,15.59
99,Katsuura,75,JP,1571466107,73,33.93,134.5,77.0,10.29
100,Tiksi,47,RU,1571466108,96,71.64,128.87,7.3,1.34
101,Marawi,67,PH,1571466108,73,8.0,124.29,86.0,5.99
102,New Norfolk,75,AU,1571466108,65,-42.78,147.06,55.4,19.46
103,Saldanha,100,PT,1571466108,82,41.42,-6.55,53.57,7.47
104,Ust-Kuyga,0,RU,1571466109,86,70.0,135.55,6.4,2.68
105,Lebu,40,ET,1571466109,68,8.96,38.73,60.8,6.93
106,Cidreira,1,BR,1571466109,83,-30.17,-50.22,59.24,8.46
107,Yaring,93,TH,1571466110,76,6.87,101.37,83.58,16.17
108,Hearst,79,CA,1571466110,83,49.69,-83.67,33.65,7.99
109,Semey,90,KZ,1571466110,93,50.41,80.25,41.0,13.42
110,Kaeo,35,NZ,1571466110,92,-35.1,173.78,64.0,7.45
111,Cartagena,0,ES,1571466111,100,37.63,-1.0,57.0,3.36
112,Jiaozhou,0,CN,1571466111,38,36.26,120.03,73.4,4.47
